"Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-author score","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Parameters","Primary Interaction Type","Publication DB","Publication ID","ScoreAverage","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"author-identifiers:\BAIT gene GI:1469200, protein GI:40788877; PREY protein GI:4503519\","Ewing et al. (2007)","","","0.437","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1066370","physical association","Q14152 (EBI-1066370) O00303","false","","physical association","pubmed","17353931",,"false","EBI-1066370","Q14152 (EBI-1066370) O00303","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2008/09/22","",""
"","Bouwmeester et al. (2004)","","",,"0.4","2004/05/19","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-364078","physical association","Q08380 (EBI-364078) Q9NYJ8","false","","physical association","pubmed|mint","14743216|MINT-5216883",,"false","EBI-364078","Q08380 (EBI-364078) Q9NYJ8","unspecified role","MI:0499","psi-mi","prey","MI:0498","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","bait","MI:0496","peptide massfingerprinting","MI:0082","2008/09/22","",""
"author-identifiers:\BAIT gene GI:5020252, protein GI:6005854; PREY protein GI:5031863\","Ewing et al. (2007)","","","0.308","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1083923","physical association","Q08380 (EBI-1083923) Q99623","false","","physical association","pubmed","17353931",,"false","EBI-1083923","Q08380 (EBI-1083923) Q99623","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.87","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2514141","physical association","Q9Y297 (EBI-2514141) Q13616","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2514141","Q9Y297 (EBI-2514141) Q13616","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2514141","physical association","Q9Y297 (EBI-2514141) Q9BT78","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2514141","Q9Y297 (EBI-2514141) Q9BT78","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2514141","physical association","Q9Y297 (EBI-2514141) Q9Y266","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2514141","Q9Y297 (EBI-2514141) Q9Y266","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:Table S1|full coverage:Only protein-protein interactions|curation depth:imex curation","Bandyopadhyay et al. (2010)","","",,"0.55","2011/01/05","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-3452947","physical association","P62258 (EBI-3452947) P31946","false","","physical association","pubmed|imex","20936779|IM-17049",,"false","EBI-3452947","P62258 (EBI-3452947) P31946","unspecified role","MI:0499","psi-mi","bait","MI:0496","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","prey","MI:0498","nucleotide sequence identification","MI:0078","2011/01/12","",""
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.7","2011/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-3934442","physical association","P62258 (EBI-3934442) P63104","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3934442","P62258 (EBI-3934442) P63104","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2011/05/18","intact","MI:0469"
"","Bouwmeester et al. (2004)","","",,"0.4","2004/05/19","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-364030","physical association","P62258 (EBI-364030) Q9NYJ8","false","","physical association","pubmed|mint","14743216|MINT-5216883",,"false","EBI-364030","P62258 (EBI-364030) Q9NYJ8","unspecified role","MI:0499","psi-mi","prey","MI:0498","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","bait","MI:0496","peptide massfingerprinting","MI:0082","2008/09/22","",""
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.62","2011/05/18","two hybrid array","MI:0397","yeasx|Saccharomyces cerevisiae","4932","EBI-3913827","physical association","P62258 (EBI-3913827) P61981","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3913827","P62258 (EBI-3913827) P61981","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","predetermined participant","MI:0396","unspecified role","MI:0499","unspecified role","MI:0499","predetermined participant","MI:0396","2011/05/18","intact","MI:0469"
"figure legend:Table S1|full coverage:Only protein-protein interactions|curation depth:imex curation","Bandyopadhyay et al. (2010)","","",,"0.37","2011/01/05","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-3452829","physical association","P62258 (EBI-3452829) Q8IWZ3","false","","physical association","pubmed|imex","20936779|IM-17049",,"false","EBI-3452829","P62258 (EBI-3452829) Q8IWZ3","unspecified role","MI:0499","psi-mi","bait","MI:0496","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","prey","MI:0498","nucleotide sequence identification","MI:0078","2011/01/12","",""
"figure legend:Table S1|full coverage:Only protein-protein interactions|curation depth:imex curation","Bandyopadhyay et al. (2010)","","",,"0.37","2011/01/05","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-3453292","physical association","Q8IWZ3 (EBI-3453292) P61981","false","","physical association","pubmed|imex","20936779|IM-17049",,"false","EBI-3453292","Q8IWZ3 (EBI-3453292) P61981","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2011/01/12","",""
"","Bouwmeester et al. (2004)","","",,"0.4","2004/05/19","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-364069","physical association","Q9Y265 (EBI-364069) Q9NYJ8","false","","physical association","pubmed|mint","14743216|MINT-5216883",,"false","EBI-364069","Q9Y265 (EBI-364069) Q9NYJ8","unspecified role","MI:0499","psi-mi","prey","MI:0498","peptide massfingerprinting","MI:0082","unspecified role","MI:0499","bait","MI:0496","peptide massfingerprinting","MI:0082","2008/09/22","",""
"author-identifiers:\BAIT gene GI:10764127, protein GI:10764128; PREY protein GI:4506753\","Ewing et al. (2007)","","","0.41","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1070089","physical association","Q9Y265 (EBI-1070089) Q9BRX2","false","","physical association","pubmed","17353931",,"false","EBI-1070089","Q9Y265 (EBI-1070089) Q9BRX2","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2510969","physical association","P51665 (EBI-2510969) O00231","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2510969","P51665 (EBI-2510969) O00231","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"author-identifiers:\BAIT gene GI:4505232, protein GI:183769; PREY protein GI:20532412\","Ewing et al. (2007)","","","0.165","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1079533","physical association","P51665 (EBI-1079533) P29372","false","","physical association","pubmed","17353931",,"false","EBI-1079533","P51665 (EBI-1079533) P29372","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:3E|expression-level:Q589T6, Q13620, Q13289, O75530 endogenous|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Higa et al. (2006)","spoke expansion","MI:1060",,"0.67","2006/12/05","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-1177705","association","Q13619 (EBI-1177705) Q16531","false","","association","pubmed|imex","17041588|IM-19695",,"false","EBI-1177705","Q13619 (EBI-1177705) Q16531","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2008/09/22","",""
"figure legend:2A|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Higa et al. (2006)","spoke expansion","MI:1060",,"0.35","2006/12/05","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1176157","association","Q13619 (EBI-1176157) Q9GZS3","false","","association","pubmed|imex","17041588|IM-19695",,"false","EBI-1176157","Q13619 (EBI-1176157) Q9GZS3","unspecified role","MI:0499","psi-mi","bait","MI:0496","anti tag western blot","MI:0705","unspecified role","MI:0499","prey","MI:0498","anti tag western blot","MI:0705","2008/09/22","Cul4B-RING ubiquitin ligase complex","GO:0031465"
"figure legend:Table 1|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Synapse - Interactions of proteins with an established role in the presynapse.|full coverage:Only protein-protein interactions|curation depth:imex curation","Law et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/05/07","pull down","MI:0096","in vitro|In vitro","-1","EBI-2321764","physical association","Q96EB6 (EBI-2321764) Q14204","false","","physical association","imex|pubmed","IM-12078|19343720",,"false","EBI-2321764","Q96EB6 (EBI-2321764) Q14204","unspecified role","MI:0499","psi-mi","bait","MI:0496","de novo protein sequencing by mass spectrometry","MI:0032","unspecified role","MI:0499","prey","MI:0498","de novo protein sequencing by mass spectrometry","MI:0032","2009/05/21","intact","MI:0469"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.57","2011/05/18","two hybrid array","MI:0397","yeasx|Saccharomyces cerevisiae","4932","EBI-3913767","physical association","P63104 (EBI-3913767) P55072","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3913767","P63104 (EBI-3913767) P55072","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","predetermined participant","MI:0396","unspecified role","MI:0499","unspecified role","MI:0499","predetermined participant","MI:0396","2011/05/18","intact","MI:0469"
"figure legend:Fig. 5B|comment:Depletion of siRNA caused a significant reduction of CUL2 binding and completely prevented HIF-1A coimmunoprecipitation following treatment with MG132|author-identifiers:UBXD1=UBXN6, UBXD2=UBXN4, UBXD3=UBXN10, UBXD4=UBXN2A, UBXD5=Socius=UBXN11, UBXD6=Rep8=UBXN8, UBXD7=UBXN7, SAKS1=U33K=UBXN1, UBXD8=ETEA=FAF2, p37=UBXN2B, UBXD7=UBXN7, ASPL=ASPC1=TUG|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Alexandru et al. (2008)","spoke expansion","MI:1060",,"0.35","2008/09/19","anti tag coimmunoprecipitation","MI:0007","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-1995860","association","P55072 (EBI-1995860) Q13617","false","","association","imex|pubmed","IM-12121|18775313",,"false","EBI-1995860","P55072 (EBI-1995860) Q13617","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2009/03/09","intact","MI:0469"
"figure legend:Fig. 5B|comment:Depletion of siRNA caused a significant reduction of CUL2 binding and completely prevented HIF-1A coimmunoprecipitation following treatment with MG132|author-identifiers:UBXD1=UBXN6, UBXD2=UBXN4, UBXD3=UBXN10, UBXD4=UBXN2A, UBXD5=Socius=UBXN11, UBXD6=Rep8=UBXN8, UBXD7=UBXN7, SAKS1=U33K=UBXN1, UBXD8=ETEA=FAF2, p37=UBXN2B, UBXD7=UBXN7, ASPL=ASPC1=TUG|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Alexandru et al. (2008)","spoke expansion","MI:1060",,"0.35","2008/09/19","anti tag coimmunoprecipitation","MI:0007","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-1995860","association","P55072 (EBI-1995860) Q13616","false","","association","imex|pubmed","IM-12121|18775313",,"false","EBI-1995860","P55072 (EBI-1995860) Q13616","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2009/03/09","intact","MI:0469"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid array","MI:0397","yeasx|Saccharomyces cerevisiae","4932","EBI-3909817","physical association","P22314 (EBI-3909817) P62993","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3909817","P22314 (EBI-3909817) P62993","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","predetermined participant","MI:0396","unspecified role","MI:0499","unspecified role","MI:0499","predetermined participant","MI:0396","2011/05/18","intact","MI:0469"
"author-identifiers:\BAIT gene GI:6016837, protein GI:21464101; PREY protein GI:19923466\","Ewing et al. (2007)","","","0.776","0.59","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1067771","physical association","Q9UQ35 (EBI-1067771) P61981","false","","physical association","pubmed","17353931",,"false","EBI-1067771","Q9UQ35 (EBI-1067771) P61981","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:4507948, protein GI:21328448; PREY protein GI:19923466\","Ewing et al. (2007)","","","0.623","0.59","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1083172","physical association","Q9UQ35 (EBI-1083172) P31946","false","","physical association","pubmed","17353931",,"false","EBI-1083172","Q9UQ35 (EBI-1083172) P31946","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Fig. 6C|resulting-ptm:Q9H4A6 O-phosphorylated residue|inhibition:\NU7441(DNA-PK inhibitor)\|causality statement:P78527 increases binding of Q9H4A6 to Q92614|dataset:Cancer - Interactions investigated in the context of cancer|full coverage:Only protein-protein interactions|curation depth:imex curation","Farber-Katz et al. (2014)","spoke expansion","MI:1060",,"0.44","2014/02/18","protein kinase assay","MI:0424","in vitro|In vitro","-1","EBI-9209251","phosphorylation reaction","Q9H4A6 (EBI-9209251) P78527","false","","phosphorylation reaction","imex|pubmed","IM-22195|24485452",,"false","EBI-9209251","Q9H4A6 (EBI-9209251) P78527","enzyme target","MI:0502","psi-mi","unspecified role","MI:0499","molecular weight estimation by autoradiography","MI:0821","enzyme","MI:0501","unspecified role","MI:0499","molecular weight estimation by autoradiography","MI:0821","2014/02/19","protein kinase activity|protein phosphorylation","GO:0004672|GO:0006468"
"author-identifiers:\BAIT gene GI:4507948, protein GI:21328448; PREY protein GI:14149704\","Ewing et al. (2007)","","","0.333","0.59","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1080781","physical association","Q9H4L5 (EBI-1080781) P31946","false","","physical association","pubmed","17353931",,"false","EBI-1080781","Q9H4L5 (EBI-1080781) P31946","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:6016837, protein GI:21464101; PREY protein GI:14149704\","Ewing et al. (2007)","","","0.512","0.59","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1065092","physical association","Q9H4L5 (EBI-1065092) P61981","false","","physical association","pubmed","17353931",,"false","EBI-1065092","Q9H4L5 (EBI-1065092) P61981","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Table S1|full coverage:Only protein-protein interactions|curation depth:imex curation","Bandyopadhyay et al. (2010)","","",,"0.37","2011/01/05","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-3453325","physical association","Q96PU5 (EBI-3453325) P61981","false","","physical association","pubmed|imex","20936779|IM-17049",,"false","EBI-3453325","Q96PU5 (EBI-3453325) P61981","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2011/01/12","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:34532000\","Ewing et al. (2007)","","","0.331","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1084294","physical association","P42704 (EBI-1084294) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1084294","P42704 (EBI-1084294) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:4503521\","Ewing et al. (2007)","","","0.318","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1075760","physical association","P60228 (EBI-1075760) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1075760","P60228 (EBI-1075760) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:1469200, protein GI:40788877; PREY protein GI:4503521\","Ewing et al. (2007)","","","0.486","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1072086","physical association","P60228 (EBI-1072086) Q14152","false","","physical association","pubmed","17353931",,"false","EBI-1072086","P60228 (EBI-1072086) Q14152","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Figure 3|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Souza-Rodrigues et al. (2007)","spoke expansion","MI:1060",,"0.5","2008/02/25","pull down","MI:0096","in vitro|In vitro","-1","EBI-1641785","association","P42771 (EBI-1641785) Q14566","false","","association","imex|pubmed","IM-11893|17955473",,"false","EBI-1641785","P42771 (EBI-1641785) Q14566","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2009/03/09","intact","MI:0469"
"author-identifiers:\BAIT gene GI:13628793, protein GI:19482174; PREY protein GI:20070125\","Ewing et al. (2007)","","","0.494","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1077349","physical association","P07237 (EBI-1077349) Q13617","false","","physical association","pubmed","17353931",,"false","EBI-1077349","P07237 (EBI-1077349) Q13617","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"antibodies:Proteins immunoprecipitated using APPNeo, which recognises the neoepitope generated after cleavage of APP at Asp-647.|figure legend:Fig. 3B, 3C|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Alzheimers - Interactions investigated in the context of Alzheimers disease|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Synapse - Interactions of proteins with an established role in the presynapse.|full coverage:Only protein-protein interactions|curation depth:imex curation","Cottrell et al. (2005)","spoke expansion","MI:1060",,"0.35","2006/06/29","anti bait coimmunoprecipitation","MI:0006","human-hippocampus|Homo sapiens hippocampus","9606","EBI-960581","association","P05067 (EBI-960581) P63104","false","","association","pubmed|imex","16049941|IM-20090",,"false","EBI-960581","P05067 (EBI-960581) P63104","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2008/09/22","see-also","104300"
"comment:\The authors comment that their findings suggest that the ERp57 (PDIA3) is bound to abeta and that calreticulin is bound to the PDIA3.\|figure legend:Figure 1 and 2.|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|dataset:Synapse - Interactions of proteins with an established role in the presynapse.|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Alzheimers - Interactions investigated in the context of Alzheimers disease|full coverage:Only protein-protein interactions|curation depth:imex curation","Erickson et al. (2005)","spoke expansion","MI:1060",,"0.35","2009/09/01","comigration in non denaturing gel electrophoresis","MI:0404","human|Homo sapiens","9606","EBI-2432907","association","P05067 (EBI-2432907) P27797","false","","association","pubmed|imex","15896298|IM-20357",,"false","EBI-2432907","P05067 (EBI-2432907) P27797","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","western blot","MI:0113","unspecified role","MI:0499","neutral component","MI:0497","western blot","MI:0113","2009/09/01","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:5453760\","Ewing et al. (2007)","","","0.361","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1074393","physical association","Q15843 (EBI-1074393) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1074393","Q15843 (EBI-1074393) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"comment:Binding regions taken from PDB file|3d-resolution:3.0 A|3d-r-factors:24.8 working, 29.9 free|figure legend:Fig. 1, Supp. Table 1,|full coverage:Only protein-protein interactions|curation depth:imex curation","Duda et al. (2008)","spoke expansion","MI:1060",,"0.56","2008/10/01","x-ray crystallography","MI:0114","in vitro|In vitro","-1","EBI-2001322","physical association","Q93034 (EBI-2001322) Q15843","false","","physical association","imex|pubmed","IM-12127|18805092",,"false","EBI-2001322","Q93034 (EBI-2001322) Q15843","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","predetermined participant","MI:0396","unspecified role","MI:0499","neutral component","MI:0497","predetermined participant","MI:0396","2009/03/09","",""
"figure legend:Table S1|full coverage:Only protein-protein interactions|curation depth:imex curation","Bandyopadhyay et al. (2010)","","",,"0.37","2011/01/05","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-3444672","physical association","P14625 (EBI-3444672) Q16659","false","","physical association","pubmed|imex","20936779|IM-17049",,"false","EBI-3444672","P14625 (EBI-3444672) Q16659","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2011/01/12","",""
"","Schaarschmidt et al. (2002)","spoke expansion","MI:1060",,"0.9","2005/03/04","coimmunoprecipitation","MI:0019","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-515243","association","P33991 (EBI-515243) P33993","false","","association","pubmed","12364596",,"false","EBI-515243","P33991 (EBI-515243) P33993","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2008/09/22","G1 phase|nucleus","GO:0051318|GO:0005634"
"","Schaarschmidt et al. (2002)","spoke expansion","MI:1060",,"0.62","2005/03/04","coimmunoprecipitation","MI:0019","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-515243","association","P33991 (EBI-515243) Q14566","false","","association","pubmed","12364596",,"false","EBI-515243","P33991 (EBI-515243) Q14566","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2008/09/22","G1 phase|nucleus","GO:0051318|GO:0005634"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-3933504","physical association","P49792 (EBI-3933504) Q13616","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3933504","P49792 (EBI-3933504) Q13616","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2011/05/18","intact","MI:0469"
